City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Pijijiapan,MX,74.44,overcast clouds,15.7011,-93.23,Hotel Rosita
549,Rafai,CF,68.67,light rain,4.95,23.9167,
554,Dalbandin,PK,62.94,clear sky,28.8947,64.4101,Sanjrani House
555,Rawson,AR,61.84,few clouds,-43.3002,-65.1023,Hosteria Sampedro
556,Sativasur,CO,51.24,broken clouds,6.0936,-72.7122,Huertellano
559,Horta,PT,69.03,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
560,Yazd,IR,67.35,clear sky,31.8972,54.3675,Mozaffar Traditional Hotel
561,Forest Lake,US,67.26,clear sky,45.2789,-92.9852,"Country Inn & Suites by Radisson, Forest Lake, MN"
563,Santo Antonio Do Ica,BR,76.82,broken clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
565,Niksic,ME,55.67,overcast clouds,42.7731,18.9445,Hotel Trebjesa
566,Kitgum,UG,66.2,light rain,3.2783,32.8867,Jaflo Gardens Hotel
567,Warrington,GB,50.32,overcast clouds,53.3925,-2.5802,Villaggio Hotel
568,Phalaborwa,ZA,69.08,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
569,Bozeman,US,72.82,clear sky,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
570,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
572,Marabba,SD,78.31,broken clouds,12.35,32.1833,
575,Chilca,PE,60.73,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
576,Shenjiamen,CN,61.07,broken clouds,29.9576,122.29799999999999,Jinjiang Inn Zhoushan Putuo Shenjiamen
577,Baherden,TM,64.47,clear sky,38.4362,57.4316,
579,Assiniboia,CA,71.42,few clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
580,Bantou,CN,60.24,clear sky,26.2151,117.4893,
582,Faro,PT,67.17,few clouds,37.0194,-7.9322,Hotel Faro & Beach Club
584,Quang Ngai,VN,76.12,overcast clouds,15.1167,108.8,Central Hotel
588,Kearney,US,75.11,clear sky,40.6995,-99.0815,"Holiday Inn Kearney, an IHG Hotel"
589,Tolstoy-Yurt,RU,59.32,light intensity shower rain,43.4444,45.7722,
590,Praia Da Vitoria,PT,70.05,few clouds,38.7333,-27.0667,Hotel Branco I
591,Marawi,PH,74.68,overcast clouds,7.9986,124.2928,Derogongan Residence
594,Nemuro,JP,55.87,light rain,43.3236,145.575,Hotel Nemuro Kaiyoutei
596,Pirassununga,BR,69.46,clear sky,-21.9961,-47.4258,Hotel Premium Pirassununga
597,Tezu,IN,71.51,overcast clouds,27.9167,96.1667,Circuit House
598,Tutoia,BR,79.72,broken clouds,-2.7619,-42.2744,Pousada Guará's
599,Gumdag,TM,66.47,scattered clouds,39.2061,54.5906,
603,Kamaishi,JP,62.49,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
604,Kruisfontein,ZA,64.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
605,High Level,CA,57.31,scattered clouds,58.5169,-117.13600000000001,Days Inn by Wyndham High Level
606,Malanje,AO,67.05,few clouds,-9.5402,16.340999999999998,Hotel Ginga
607,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
609,Teguise,ES,66.42,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
614,Lao Cai,VN,65.98,scattered clouds,22.4833,103.95,Legend Hotel
618,Asfi,MA,66.7,overcast clouds,32.2994,-9.2372,Hôtel Abda
619,Middletown,US,65.48,clear sky,39.5151,-84.3983,Center of Hope for Women and Children
620,Soverato,IT,60.75,clear sky,38.685,16.5499,Hotel San Domenico
621,Forbes,AU,68.92,overcast clouds,-33.3833,148.0167,Lake Forbes Motel
623,Tshikapa,CD,70.68,scattered clouds,-6.4167,20.8,Tatem beach
628,Miles City,US,68.52,few clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
630,Felanitx,ES,65.95,overcast clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
631,Tupiza,BO,54.57,clear sky,-21.45,-65.7167,Hotel Mitru
632,Rapid City,US,76.3,clear sky,44.0805,-103.23100000000001,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
633,Nogales,MX,69.71,overcast clouds,31.3086,-110.9422,Siesta Motel
634,Cuiaba,BR,78.73,scattered clouds,-15.5961,-56.0967,Getúllio Hotel
635,Kramat,ID,77.79,overcast clouds,-8.1311,113.4499,Padepokan HM Arum Sabil
636,Soyo,AO,76.5,clear sky,-6.1349,12.3689,Hospedaria ndozi'ame
639,Inirida,CO,77.16,heavy intensity rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
641,Pierre,US,73.27,broken clouds,44.3683,-100.351,Ramkota Hotel
643,Ouadda,CF,65.75,broken clouds,8.0777,22.4007,
